
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCIÓN, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 23, 23]
[1][4, (1,0), 0, S, 1, 22, 26]
[4][5, (2,0), 1, S, 2, 21, 26]
[7][7, (3,0), 4, S, 3, 20, 27]
[10][9, (4,0), 7, S, 4, 19, 28]
[13][13, (5,0), 10, S, 5, 18, 31]
[20][16, (6,0), 13, S, 6, 17, 33]
[22][19, (7,0), 20, S, 7, 16, 35]
[28][20, (7,1), 22, E, 8, 15, 35]
[30][23, (6,1), 28, N, 9, 16, 39]
[43][26, (5,1), 30, N, 10, 17, 43]
[48][29, (5,2), 43, E, 11, 16, 45]
[54][31, (6,2), 48, S, 12, 15, 46]
[62][35, (7,2), 54, S, 13, 14, 49]
[70][38, (8,2), 62, S, 14, 13, 51]
[77][41, (9,2), 70, S, 15, 12, 53]
[86][44, (9,3), 77, E, 16, 11, 55]
[90][48, (9,4), 86, E, 17, 10, 58]
[100][51, (9,5), 90, E, 18, 9, 60]
[104][53, (8,5), 100, N, 19, 10, 63]
[116][57, (7,5), 104, N, 20, 11, 68]
[149][59, (7,6), 116, E, 21, 10, 69]
[151][61, (6,6), 149, N, 22, 11, 72]
[162][65, (6,7), 151, E, 23, 10, 75]
[165][66, (5,7), 162, N, 24, 11, 77]
[169][69, (5,8), 165, E, 25, 10, 79]
[174][73, (5,9), 169, E, 26, 9, 82]
[181][76, (5,10), 174, E, 27, 8, 84]
[185][78, (6,10), 181, S, 28, 7, 85]
[188][80, (6,11), 185, E, 29, 6, 86]
[191][81, (5,11), 188, N, 30, 7, 88]
[199][83, (5,12), 191, E, 31, 6, 89]
[201][87, (5,13), 199, E, 32, 5, 92]
[214][88, (6,13), 201, S, 33, 4, 92]
[218][89, (7,13), 214, S, 34, 3, 92]
[221][90, (8,13), 218, S, 35, 2, 92]
[224][93, (8,14), 221, E, 36, 1, 94]
[229][95, (9,14), 224, S, 37, 0, 95]
