
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCIÓN, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 13, 0]
[1][3, (0,1), 0, E, 1, 12, 1]
[2][4, (0,2), 1, E, 2, 11, 2]
[5][7, (0,3), 2, E, 3, 10, 3]
[12][9, (1,3), 5, S, 4, 9, 4]
[22][10, (1,4), 12, E, 5, 8, 5]
[30][14, (1,5), 22, E, 6, 7, 6]
[40][16, (0,5), 30, N, 7, 8, 7]
[49][19, (0,6), 40, E, 8, 7, 8]
[57][22, (0,7), 49, E, 9, 6, 9]
[63][24, (1,7), 57, S, 10, 5, 10]
[68][25, (1,6), 63, O, 11, 6, 11]
[70][26, (2,6), 68, S, 12, 5, 12]
[74][27, (3,6), 70, S, 13, 4, 13]
[82][30, (3,7), 74, E, 14, 3, 14]
[85][32, (4,7), 82, S, 15, 2, 15]
[93][35, (5,7), 85, S, 16, 1, 16]
[100][36, (5,8), 93, E, 17, 0, 17]
