
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCIÓN, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 22, 1]
[1][2, (0,1), 0, E, 1, 21, 0.5]
[3][4, (1,1), 1, S, 2, 20, 0.3333333333333333]
[6][7, (1,2), 3, E, 3, 19, 0.25]
[8][9, (2,2), 6, S, 4, 18, 0.2]
[12][12, (2,1), 8, O, 5, 19, 0.16666666666666666]
[14][16, (3,1), 12, S, 6, 18, 0.14285714285714285]
[16][20, (4,1), 14, S, 7, 17, 0.125]
[18][22, (4,0), 16, O, 8, 18, 0.1111111111111111]
[21][25, (5,0), 18, S, 9, 17, 0.1]
[26][26, (6,0), 21, S, 10, 16, 0.09090909090909091]
[28][30, (6,1), 26, E, 11, 15, 0.08333333333333333]
[29][34, (5,1), 28, N, 12, 16, 0.07692307692307693]
[32][35, (5,2), 29, E, 13, 15, 0.07142857142857142]
[34][39, (5,3), 32, E, 14, 14, 0.06666666666666667]
[36][43, (5,4), 34, E, 15, 13, 0.0625]
[39][44, (6,4), 36, S, 16, 12, 0.058823529411764705]
[117][45, (7,4), 39, S, 17, 11, 0.05555555555555555]
[121][49, (7,5), 117, E, 18, 10, 0.05263157894736842]
[123][53, (8,5), 121, S, 19, 9, 0.05]
[127][57, (8,6), 123, E, 20, 8, 0.047619047619047616]
[128][60, (8,7), 127, E, 21, 7, 0.045454545454545456]
[131][61, (7,7), 128, N, 22, 8, 0.043478260869565216]
[134][62, (7,8), 131, E, 23, 7, 0.041666666666666664]
[136][65, (6,8), 134, N, 24, 8, 0.04]
[140][67, (6,9), 136, E, 25, 7, 0.038461538461538464]
[146][71, (6,10), 140, E, 26, 6, 0.037037037037037035]
[186][72, (7,10), 146, S, 27, 5, 0.03571428571428571]
[198][73, (7,11), 186, E, 28, 4, 0.034482758620689655]
[200][77, (8,11), 198, S, 29, 3, 0.03333333333333333]
[203][81, (9,11), 200, S, 30, 2, 0.03225806451612903]
[205][84, (9,12), 203, E, 31, 1, 0.03125]
[207][85, (10,12), 205, S, 32, 0, 0.030303030303030304]
