
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCIÓN, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 12, 1]
[2][1, (1,0), 0, S, 1, 11, 0.5]
[55][5, (2,0), 2, S, 2, 10, 0.3333333333333333]
[58][9, (3,0), 55, S, 3, 9, 0.25]
[61][12, (3,1), 58, E, 4, 8, 0.2]
[62][16, (4,1), 61, S, 5, 7, 0.16666666666666666]
[65][20, (4,2), 62, E, 6, 6, 0.14285714285714285]
[67][23, (5,2), 65, S, 7, 5, 0.125]
[70][27, (5,3), 67, E, 8, 4, 0.1111111111111111]
[72][31, (6,3), 70, S, 9, 3, 0.1]
[75][35, (6,4), 72, E, 10, 2, 0.09090909090909091]
[76][37, (5,4), 75, N, 11, 3, 0.08333333333333333]
[78][40, (5,5), 76, E, 12, 2, 0.07692307692307693]
[80][44, (5,6), 78, E, 13, 1, 0.07142857142857142]
[82][48, (6,6), 80, S, 14, 0, 0.06666666666666667]
