
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCIÓN, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 22, 22]
[1][2, (0,1), 0, E, 1, 21, 23]
[3][4, (1,1), 1, S, 2, 20, 24]
[6][7, (1,2), 3, E, 3, 19, 26]
[9][9, (2,2), 6, S, 4, 18, 27]
[12][12, (2,1), 9, O, 5, 19, 31]
[15][16, (3,1), 12, S, 6, 18, 34]
[17][20, (4,1), 15, S, 7, 17, 37]
[19][22, (4,0), 17, O, 8, 18, 40]
[22][25, (5,0), 19, S, 9, 17, 42]
[24][26, (6,0), 22, S, 10, 16, 42]
[26][30, (6,1), 24, E, 11, 15, 45]
[29][34, (5,1), 26, N, 12, 16, 50]
[34][35, (5,2), 29, E, 13, 15, 50]
[36][39, (5,3), 34, E, 14, 14, 53]
[38][43, (5,4), 36, E, 15, 13, 56]
[41][44, (6,4), 38, S, 16, 12, 56]
[44][45, (7,4), 41, S, 17, 11, 56]
[47][49, (7,5), 44, E, 18, 10, 59]
[53][53, (8,5), 47, S, 19, 9, 62]
[73][57, (8,6), 53, E, 20, 8, 65]
[83][60, (8,7), 73, E, 21, 7, 67]
[97][61, (7,7), 83, N, 22, 8, 69]
[106][62, (7,8), 97, E, 23, 7, 69]
[108][65, (6,8), 106, N, 24, 8, 73]
[125][67, (6,9), 108, E, 25, 7, 74]
[129][71, (6,10), 125, E, 26, 6, 77]
[141][72, (7,10), 129, S, 27, 5, 77]
[146][73, (7,11), 141, E, 28, 4, 77]
[148][77, (8,11), 146, S, 29, 3, 80]
[168][81, (9,11), 148, S, 30, 2, 83]
[181][84, (9,12), 168, E, 31, 1, 85]
[188][85, (10,12), 181, S, 32, 0, 85]
