
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCIÓN, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 14, 1]
[1][3, (0,1), 0, E, 1, 13, 0.5]
[2][7, (1,1), 1, S, 2, 12, 0.3333333333333333]
[6][9, (1,0), 2, O, 3, 13, 0.25]
[8][12, (2,0), 6, S, 4, 12, 0.2]
[10][15, (3,0), 8, S, 5, 11, 0.16666666666666666]
[13][17, (4,0), 10, S, 6, 10, 0.14285714285714285]
[16][20, (4,1), 13, E, 7, 9, 0.125]
[18][21, (4,2), 16, E, 8, 8, 0.1111111111111111]
[21][24, (4,3), 18, E, 9, 7, 0.1]
[25][27, (4,4), 21, E, 10, 6, 0.09090909090909091]
[29][30, (4,5), 25, E, 11, 5, 0.08333333333333333]
[66][32, (4,6), 29, E, 12, 4, 0.07692307692307693]
[71][33, (5,6), 66, S, 13, 3, 0.07142857142857142]
[78][35, (5,7), 71, E, 14, 2, 0.06666666666666667]
[79][38, (6,7), 78, S, 15, 1, 0.0625]
[82][40, (7,7), 79, S, 16, 0, 0.058823529411764705]
