
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCIÓN, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 24, 24]
[1][1, (1,0), 0, S, 1, 23, 24]
[3][5, (1,1), 1, E, 2, 22, 27]
[7][7, (2,1), 3, S, 3, 21, 28]
[10][8, (3,1), 7, S, 4, 20, 28]
[12][12, (4,1), 10, S, 5, 19, 31]
[20][14, (4,2), 12, E, 6, 18, 32]
[25][15, (5,2), 20, S, 7, 17, 32]
[28][16, (5,3), 25, E, 8, 16, 32]
[31][17, (6,3), 28, S, 9, 15, 32]
[34][20, (7,3), 31, S, 10, 14, 34]
[42][21, (8,3), 34, S, 11, 13, 34]
[45][25, (8,2), 42, O, 12, 14, 39]
[57][29, (8,1), 45, O, 13, 15, 44]
[72][33, (8,0), 57, O, 14, 16, 49]
[85][34, (9,0), 72, S, 15, 15, 49]
[87][37, (9,1), 85, E, 16, 14, 51]
[95][41, (10,1), 87, S, 17, 13, 54]
[99][45, (10,2), 95, E, 18, 12, 57]
[100][49, (10,3), 99, E, 19, 11, 60]
[106][52, (11,3), 100, S, 20, 10, 62]
[109][54, (11,4), 106, E, 21, 9, 63]
[110][58, (10,4), 109, N, 22, 10, 68]
[114][61, (10,5), 110, E, 23, 9, 70]
[117][64, (10,6), 114, E, 24, 8, 72]
[123][66, (10,7), 117, E, 25, 7, 73]
[127][70, (11,7), 123, S, 26, 6, 76]
[135][73, (11,8), 127, E, 27, 5, 78]
[140][74, (11,9), 135, E, 28, 4, 78]
[142][75, (11,10), 140, E, 29, 3, 78]
[144][79, (10,10), 142, N, 30, 4, 83]
[153][80, (10,11), 144, E, 31, 3, 83]
[156][83, (10,12), 153, E, 32, 2, 85]
[158][84, (9,12), 156, N, 33, 3, 87]
[162][85, (9,13), 158, E, 34, 2, 87]
[165][87, (10,13), 162, S, 35, 1, 88]
[175][91, (11,13), 165, S, 36, 0, 91]
