
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCIÓN, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 14, 14]
[2][1, (1,0), 0, S, 1, 13, 14]
[7][4, (2,0), 2, S, 2, 12, 16]
[11][6, (3,0), 7, S, 3, 11, 17]
[16][10, (3,1), 11, E, 4, 10, 20]
[22][11, (4,1), 16, S, 5, 9, 20]
[25][12, (4,2), 22, E, 6, 8, 20]
[28][14, (4,3), 25, E, 7, 7, 21]
[34][16, (4,4), 28, E, 8, 6, 22]
[39][19, (5,4), 34, S, 9, 5, 24]
[49][23, (5,5), 39, E, 10, 4, 27]
[63][27, (6,5), 49, S, 11, 3, 30]
[91][30, (6,6), 63, E, 12, 2, 32]
[103][31, (7,6), 91, S, 13, 1, 32]
[106][33, (7,7), 103, E, 14, 0, 33]
