
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCIÓN, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 16, 16]
[1][4, (0,1), 0, E, 1, 15, 19]
[6][5, (0,2), 1, E, 2, 14, 19]
[8][7, (0,3), 6, E, 3, 13, 20]
[12][9, (0,4), 8, E, 4, 12, 21]
[19][12, (0,5), 12, E, 5, 11, 23]
[25][15, (0,6), 19, E, 6, 10, 25]
[31][16, (1,6), 25, S, 7, 9, 25]
[38][18, (1,5), 31, O, 8, 10, 28]
[55][20, (1,4), 38, O, 9, 11, 31]
[63][21, (2,4), 55, S, 10, 10, 31]
[65][22, (3,4), 63, S, 11, 9, 31]
[67][24, (3,5), 65, E, 12, 8, 32]
[72][25, (3,6), 67, E, 13, 7, 32]
[75][27, (3,7), 72, E, 14, 6, 33]
[80][30, (3,8), 75, E, 15, 5, 35]
[90][31, (4,8), 80, S, 16, 4, 35]
[94][35, (5,8), 90, S, 17, 3, 38]
[104][36, (5,7), 94, O, 18, 4, 40]
[115][38, (5,6), 104, O, 19, 5, 43]
[118][39, (5,5), 115, O, 20, 6, 45]
[122][40, (6,5), 118, S, 21, 5, 45]
[125][44, (6,6), 122, E, 22, 4, 48]
[132][48, (6,7), 125, E, 23, 3, 51]
[138][49, (7,7), 132, S, 24, 2, 51]
[141][50, (7,8), 138, E, 25, 1, 51]
[143][53, (8,8), 141, S, 26, 0, 53]
