
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCIÓN, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 23, 23]
[1][1, (0,1), 0, E, 1, 22, 23]
[2][5, (0,2), 1, E, 2, 21, 26]
[5][6, (1,2), 2, S, 3, 20, 26]
[9][8, (1,1), 5, O, 4, 21, 29]
[14][9, (2,1), 9, S, 5, 20, 29]
[18][10, (3,1), 14, S, 6, 19, 29]
[23][11, (4,1), 18, S, 7, 18, 29]
[25][13, (4,2), 23, E, 8, 17, 30]
[28][16, (5,2), 25, S, 9, 16, 32]
[35][19, (5,3), 28, E, 10, 15, 34]
[44][20, (6,3), 35, S, 11, 14, 34]
[47][21, (7,3), 44, S, 12, 13, 34]
[49][25, (8,3), 47, S, 13, 12, 37]
[55][29, (8,4), 49, E, 14, 11, 40]
[67][30, (9,4), 55, S, 15, 10, 40]
[72][33, (10,4), 67, S, 16, 9, 42]
[95][37, (11,4), 72, S, 17, 8, 45]
[118][40, (11,5), 95, E, 18, 7, 47]
[132][43, (11,6), 118, E, 19, 6, 49]
[151][47, (11,7), 132, E, 20, 5, 52]
[176][49, (10,7), 151, N, 21, 6, 55]
[192][52, (10,8), 176, E, 22, 5, 57]
[206][56, (9,8), 192, N, 23, 6, 62]
[233][59, (9,9), 206, E, 24, 5, 64]
[245][61, (9,10), 233, E, 25, 4, 65]
[248][62, (9,11), 245, E, 26, 3, 65]
[252][66, (10,11), 248, S, 27, 2, 68]
[270][69, (11,11), 252, S, 28, 1, 70]
[277][71, (11,12), 270, E, 29, 0, 71]
