
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCIÓN, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 11, 11]
[1][2, (0,1), 0, E, 1, 10, 12]
[3][5, (0,2), 1, E, 2, 9, 14]
[10][8, (1,2), 3, S, 3, 8, 16]
[14][12, (2,2), 10, S, 4, 7, 19]
[19][14, (2,1), 14, O, 5, 8, 22]
[28][17, (3,1), 19, S, 6, 7, 24]
[35][19, (4,1), 28, S, 7, 6, 25]
[39][22, (5,1), 35, S, 8, 5, 27]
[45][26, (5,2), 39, E, 9, 4, 30]
[50][27, (6,2), 45, S, 10, 3, 30]
[53][29, (6,3), 50, E, 11, 2, 31]
[57][30, (6,4), 53, E, 12, 1, 31]
[61][32, (7,4), 57, S, 13, 0, 32]
