
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCIÓN, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 23, 0]
[1][4, (1,0), 0, S, 1, 22, 4]
[4][5, (2,0), 1, S, 2, 21, 5]
[7][7, (3,0), 4, S, 3, 20, 7]
[10][9, (4,0), 7, S, 4, 19, 9]
[17][13, (5,0), 10, S, 5, 18, 13]
[22][16, (6,0), 17, S, 6, 17, 16]
[26][19, (7,0), 22, S, 7, 16, 19]
[30][20, (7,1), 26, E, 8, 15, 20]
[34][23, (6,1), 30, N, 9, 16, 23]
[36][26, (5,1), 34, N, 10, 17, 26]
[48][29, (5,2), 36, E, 11, 16, 29]
[56][31, (6,2), 48, S, 12, 15, 31]
[63][35, (7,2), 56, S, 13, 14, 35]
[75][38, (8,2), 63, S, 14, 13, 38]
[80][41, (9,2), 75, S, 15, 12, 41]
[93][44, (9,3), 80, E, 16, 11, 44]
[100][48, (9,4), 93, E, 17, 10, 48]
[112][51, (9,5), 100, E, 18, 9, 51]
[124][53, (8,5), 112, N, 19, 10, 53]
[133][57, (7,5), 124, N, 20, 11, 57]
[146][59, (7,6), 133, E, 21, 10, 59]
[153][61, (6,6), 146, N, 22, 11, 61]
[159][65, (6,7), 153, E, 23, 10, 65]
[166][66, (5,7), 159, N, 24, 11, 66]
[169][69, (5,8), 166, E, 25, 10, 69]
[179][73, (5,9), 169, E, 26, 9, 73]
[183][76, (5,10), 179, E, 27, 8, 76]
[187][78, (6,10), 183, S, 28, 7, 78]
[192][80, (6,11), 187, E, 29, 6, 80]
[193][81, (5,11), 192, N, 30, 7, 81]
[199][83, (5,12), 193, E, 31, 6, 83]
[204][87, (5,13), 199, E, 32, 5, 87]
[215][88, (6,13), 204, S, 33, 4, 88]
[220][89, (7,13), 215, S, 34, 3, 89]
[225][90, (8,13), 220, S, 35, 2, 90]
[230][93, (8,14), 225, E, 36, 1, 93]
[246][95, (9,14), 230, S, 37, 0, 95]
