
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCIÓN, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 12, 0]
[2][4, (1,0), 0, S, 1, 11, 1]
[5][6, (1,1), 2, E, 2, 10, 2]
[6][8, (1,2), 5, E, 3, 9, 3]
[9][10, (0,2), 6, N, 4, 10, 4]
[13][14, (0,3), 9, E, 5, 9, 5]
[16][16, (1,3), 13, S, 6, 8, 6]
[19][20, (1,4), 16, E, 7, 7, 7]
[21][24, (0,4), 19, N, 8, 8, 8]
[25][28, (0,5), 21, E, 9, 7, 9]
[29][30, (0,6), 25, E, 10, 6, 10]
[35][33, (1,6), 29, S, 11, 5, 11]
[45][36, (2,6), 35, S, 12, 4, 12]
[57][38, (3,6), 45, S, 13, 3, 13]
[68][39, (4,6), 57, S, 14, 2, 14]
[79][43, (5,6), 68, S, 15, 1, 15]
[89][44, (6,6), 79, S, 16, 0, 16]
