
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCIÓN, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 15, 0]
[2][4, (1,0), 0, S, 1, 14, 1]
[5][8, (1,1), 2, E, 2, 13, 2]
[6][10, (1,2), 5, E, 3, 12, 3]
[10][13, (1,3), 6, E, 4, 11, 4]
[17][17, (1,4), 10, E, 5, 10, 5]
[25][18, (2,4), 17, S, 6, 9, 6]
[31][19, (2,3), 25, O, 7, 10, 7]
[33][21, (3,3), 31, S, 8, 9, 8]
[35][24, (3,4), 33, E, 9, 8, 9]
[37][28, (4,4), 35, S, 10, 7, 10]
[44][30, (4,3), 37, O, 11, 8, 11]
[48][31, (5,3), 44, S, 12, 7, 12]
[55][33, (6,3), 48, S, 13, 6, 13]
[62][37, (6,2), 55, O, 14, 7, 14]
[68][40, (7,2), 62, S, 15, 6, 15]
[77][43, (7,3), 68, E, 16, 5, 16]
[89][45, (7,4), 77, E, 17, 4, 17]
[99][46, (7,5), 89, E, 18, 3, 18]
[107][49, (7,6), 99, E, 19, 2, 19]
[114][52, (7,7), 107, E, 20, 1, 20]
[119][56, (6,7), 114, N, 21, 2, 21]
[124][59, (6,8), 119, E, 22, 1, 22]
[134][60, (7,8), 124, S, 23, 0, 23]
